央视,#genre#

卫视,#genre#

地方,#genre#
佛山综合,http://www.namewee.xyz/gudou.php?id=foshanzongheHD_4500
佛山公共,http://www.namewee.xyz/gudou.php?id=foshangonggongHD_4500
佛山影视,http://www.namewee.xyz/gudou.php?id=foshanyingshiHD_4500
顺德综合,http://www.namewee.xyz/gudou.php?id=shundeHD_4500
广东新闻,http://113.101.160.144:8888/udp/239.77.0.173:5146
广东新闻,http://219.135.208.218:8083/tsfile/live/0018_1.m3u8?key=txiptv&playlive=1&authid=0
广东新闻,http://mom.coms.hk:9901/tsfile/live/1008_1.m3u8?key=txiptv&playlive=1&authid=0
广东新闻,http://gmxw.7766.org:808/hls/5/index.m3u8
广东珠江,https://z88.ubtvfans.com/live/rx1/1034/ea91e47e0ce349e1923cbcb373067494/index.m3u8
广东珠江,http://183.6.110.242:9901/hls/1050/index.m3u8
广东珠江,http://183.6.110.241:9901/hls/1050/index.m3u8
广东珠江,http://113.71.148.79:5555/udp/239.77.0.1:5146
广东珠江,http://218.13.170.98:9901/tsfile/live/1000_1.m3u8
广东珠江,http://219.135.208.218:8083/tsfile/live/0017_1.m3u8

港台,#genre#
TVB翡翠台,http://58.87.99.251:8090/GN/gdfc2/hls.m3u8
TVB翡翠台,http://158.180.67.130/live/hls/J/j.m3u8
TVB翡翠台 4K,http://158.180.67.130/live/hls/JUHD/juhd.m3u8
TVB翡翠台 4K,http://free.9528.eu.org:9529/stream/hk/test/master.m3u8?
TVB翡翠台,http://58.176.4.57:8800/play/a00g
TVB J2台,http://nz189l149.bb27109.ctm.net:8892/bysid/82
TVB J2,http://58.176.4.57:8800/play/a00c
J2,http://nz189l149.bb27109.ctm.net:8892/bysid/82
TVB明珠台,http://58.176.4.57:8800/play/a00b
TVB无线新闻台,http://zsntlqj.xicp.net:8896/bysid/83
TVB无线新闻台,http://66.165.240.154:8080/live/TVBwxxwt/hls.m3u8
无线新闻,http://36.108.172.237:10002/stream/channelid/864637417
无线新闻,http://137.175.30.127:9080/hls/inews.m3u8
无线新闻,http://66.165.240.154:8080/live/TVBwxxwt/hls.m3u8
无线新闻,http://nz189l149.bb27109.ctm.net:8892/bysid/83
无线新闻台,http://r.jdshipin.com/CkuBd
TVB娱乐新闻台,http://v2h.jdshipin.com/enew/enew.stream/chunklist.m3u8
TVB娱乐新闻台,https://edge6a.v2h-cdn.com/enew/enew.stream/chunklist.m3u8
TVB娱乐新闻台,https://edge6a.v2h-cdn.com/enew/enew.stream/chunklist.m3u8
Now 新闻台,http://58.87.99.251:8090/HK/nowxingying/hls.m3u8
